id,name,parsecs_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
4684,Kepler-392 c,681.428,1.37 Earths,13.528,2014,https://science.nasa.gov/exoplanet-catalog/kepler-392-c/
4685,Kepler-390 c,435.277,0.418 Earths,14.231,2014,https://science.nasa.gov/exoplanet-catalog/kepler-390-c/
4686,Kepler-388 c,425,0.566 Earths,15.218,2014,https://science.nasa.gov/exoplanet-catalog/kepler-388-c/
4687,Kepler-386 c,882.462,3.12 Earths,15.949,2014,https://science.nasa.gov/exoplanet-catalog/kepler-386-c/
4688,Kepler-384 b,895.678,1.46 Earths,13.734,2014,https://science.nasa.gov/exoplanet-catalog/kepler-384-b/
4689,Kepler-382 b,935.446,2.3 Earths,14.907,2014,https://science.nasa.gov/exoplanet-catalog/kepler-382-b/
4690,Kepler-380 b,813.713,1.81 Earths,13.74,2014,https://science.nasa.gov/exoplanet-catalog/kepler-380-b/
4691,Kepler-37 e,63.9207,8.1 Earths,9.770001,2014,https://science.nasa.gov/exoplanet-catalog/kepler-37-e/
4692,Kepler-377 c,823.804,4.9 Earths,14.081,2014,https://science.nasa.gov/exoplanet-catalog/kepler-377-c/
4693,Kepler-371 b,813.192,4.23 Earths,13.997,2014,https://science.nasa.gov/exoplanet-catalog/kepler-371-b/
4694,Kepler-368 c,770.978,14.3 Earths,12.946,2014,https://science.nasa.gov/exoplanet-catalog/kepler-368-c/
4695,Kepler-366 c,1856.28,3.86 Earths,14.952,2014,https://science.nasa.gov/exoplanet-catalog/kepler-366-c/
4696,Kepler-218 d,656.38,7.56 Earths,14.035,2016,https://science.nasa.gov/exoplanet-catalog/kepler-218-d/
4697,Kepler-217 d,1104.64,2.3 Earths,13.155,2016,https://science.nasa.gov/exoplanet-catalog/kepler-217-d/
4698,Kepler-640 b,557.787,7.08 Earths,13.885,2016,https://science.nasa.gov/exoplanet-catalog/kepler-640-b/
4699,Kepler-639 b,850.242,6.26 Earths,13.358,2016,https://science.nasa.gov/exoplanet-catalog/kepler-639-b/
4700,Kepler-638 b,991.214,4.01 Earths,13.658,2016,https://science.nasa.gov/exoplanet-catalog/kepler-638-b/
4701,Kepler-637 b,786.091,20.2 Earths,13.5,2016,https://science.nasa.gov/exoplanet-catalog/kepler-637-b/
4702,Kepler-636 b,310.301,18.1 Earths,13.906,2016,https://science.nasa.gov/exoplanet-catalog/kepler-636-b/
4703,Kepler-635 b,1141.08,7.46 Earths,13.36,2016,https://science.nasa.gov/exoplanet-catalog/kepler-635-b/
4704,Kepler-634 b,888.027,4.23 Earths,13.626,2016,https://science.nasa.gov/exoplanet-catalog/kepler-634-b/
4705,Kepler-633 b,680.54,3.29 Earths,13.812,2016,https://science.nasa.gov/exoplanet-catalog/kepler-633-b/
4706,Kepler-632 b,349,5.52 Earths,13.442,2016,https://science.nasa.gov/exoplanet-catalog/kepler-632-b/
4707,Kepler-631 b,761.966,8.75 Earths,13.563,2016,https://science.nasa.gov/exoplanet-catalog/kepler-631-b/
4708,Kepler-392 b,681.428,0.972 Earths,13.528,2014,https://science.nasa.gov/exoplanet-catalog/kepler-392-b/
4709,Kepler-391 c,869.236,1.41585834 Jupiters,13.177,2014,https://science.nasa.gov/exoplanet-catalog/kepler-391-c/
4710,Kepler-391 b,869.236,3.46098705 Jupiters,13.177,2014,https://science.nasa.gov/exoplanet-catalog/kepler-391-b/
4711,Kepler-390 b,435.277,0.477 Earths,14.231,2014,https://science.nasa.gov/exoplanet-catalog/kepler-390-b/
4712,Kepler-389 c,816.559,2.73 Earths,15.769,2014,https://science.nasa.gov/exoplanet-catalog/kepler-389-c/
4713,Kepler-389 b,816.559,2.89 Earths,15.769,2014,https://science.nasa.gov/exoplanet-catalog/kepler-389-b/
